quick, quickly, hurry up;快 kuài
to get up from bed;起床 qǐchuáng
bed;床 chuáng
every;每 měi
v/n. to exercise;运动 yùndòng
why;为什么 wèishénme
but;可是 kěshì
head;头 tóu
painful, to hurt;疼 téng
sorry;对不起 duìbuqǐ
comfortable;舒服 shūfu
it doesn’t matter, never mind;没关系 méi guānxì
throat;嗓子 sǎngzi
a little + adj., somewhat;有（一）点儿 yǒu (yì)diǎnr
should, ought to;应该 yīnggāi
should;该 gāi
hospital;医院 yīyuàn
to see a doctor;看病 kànbìng
disease, illness;病 bìng
body, health;身体 shēntǐ
sleep;睡觉 shuìjiào
to sleep;睡 shuì
can, able to;能 néng
to attend class;上课 shàngkè
(used in a choice-type question) or;还是 háishì
weather;天气 tiānqì
cold;冷 lěng
to wear;穿 chuān
